WORD,ANNOTATION,A1,A2
ability,-1.0,-1.0,-1.0
able,0.0,0.0,0.0
above,-1.0,-1.0,-1.0
abrupt,0.0,0.0,0.0
absolute,0.0,0.0,0.0
absolutely,1.0,1.0,1.0
accident,0.0,0.0,0.0
accomplished,-1.0,-1.0,-1.0
acknowledge,1.0,1.0,1.0
actual,-1.0,-1.0,-1.0
actually,1.0,1.0,1.0
addict,0.0,0.0,0.0
addicted,0.0,0.0,0.0
adequate,1.0,1.0,1.0
advanced,1.0,1.0,1.0
advantage,-1.0,-1.0,-1.0
adversary,0.0,0.0,0.0
affect,1.0,1.0,1.0
afford,0.0,0.0,0.0
affordable,0.0,0.0,0.0
against,-1.0,-1.0,-1.0
agree,0.0,0.0,0.0
agreed,-1.0,-1.0,-1.0
air,-1.0,-1.0,-1.0
allow,1.0,1.0,1.0
alone,-1.0,-1.0,-1.0
alright,0.0,0.0,0.0
although,0.0,0.0,0.0
amazed,-1.0,-1.0,-1.0
amazing,0.0,0.0,0.0
amazingly,-1.0,-1.0,-1.0
amazon,1.0,1.0,1.0
annoying,-1.0,-1.0,-1.0
anyway,-1.0,-1.0,-1.0
anyways,0.0,0.0,0.0
apparently,0.0,0.0,0.0
appearance,-1.0,-1.0,-1.0
appreciate,-1.0,-1.0,-1.0
approval,-1.0,-1.0,-1.0
aspire,-1.0,-1.0,-1.0
assuring,1.0,1.0,1.0
astonishing,0.0,0.0,0.0
attachment,1.0,1.0,1.0
attest,-1.0,-1.0,-1.0
attractive,-1.0,-1.0,-1.0
available,0.0,0.0,0.0
avid,0.0,0.0,0.0
avoid,-1.0,-1.0,-1.0
aware,1.0,1.0,1.0
awe,-1.0,-1.0,-1.0
awesome,0.0,0.0,0.0
awful,0.0,0.0,0.0
baby,0.0,0.0,0.0
back,-1.0,-1.0,-1.0
bad,0.0,0.0,0.0
barely,1.0,1.0,1.0
bargain,-1.0,-1.0,-1.0
basic,1.0,1.0,1.0
beast,1.0,1.0,1.0
beautiful,0.0,0.0,0.0
beautifully,0.0,0.0,0.0
beauty,-1.0,-1.0,-1.0
believe,0.0,0.0,0.0
benefits,0.0,0.0,0.0
besides,0.0,0.0,0.0
best,-1.0,-1.0,-1.0
better,0.0,0.0,0.0
beware,1.0,1.0,1.0
big,-1.0,-1.0,-1.0
black,-1.0,-1.0,-1.0
blame,0.0,0.0,0.0
block,0.0,0.0,0.0
bloody,0.0,0.0,0.0
bonus,0.0,0.0,0.0
bother,1.0,1.0,1.0
break,0.0,0.0,0.0
breaking,1.0,1.0,1.0
breaks,0.0,0.0,0.0
bright,0.0,0.0,0.0
brightness,1.0,1.0,1.0
broad,0.0,0.0,0.0
broke,1.0,1.0,1.0
broken,1.0,1.0,1.0
bug,1.0,1.0,1.0
bummer,1.0,1.0,1.0
bumping,1.0,1.0,1.0
burn,0.0,0.0,0.0
burned,-1.0,-1.0,-1.0
burning,0.0,0.0,0.0
cancel,1.0,1.0,1.0
capable,-1.0,-1.0,-1.0
care,0.0,0.0,0.0
cared,-1.0,-1.0,-1.0
careful,0.0,0.0,0.0
casual,1.0,1.0,1.0
certain,0.0,0.0,0.0
certainly,-1.0,-1.0,-1.0
challenge,1.0,1.0,1.0
champion,1.0,1.0,1.0
chance,0.0,0.0,0.0
charged,-1.0,-1.0,-1.0
charges,-1.0,-1.0,-1.0
charm,1.0,1.0,1.0
cheap,-1.0,-1.0,-1.0
cheaper,1.0,1.0,1.0
cheapest,0.0,0.0,0.0
cheaply,-1.0,-1.0,-1.0
claim,1.0,1.0,1.0
clarity,1.0,1.0,1.0
clean,-1.0,-1.0,-1.0
clear,0.0,0.0,0.0
close,-1.0,-1.0,-1.0
cloud,0.0,0.0,0.0
clunky,0.0,0.0,0.0
comfortable,-1.0,-1.0,-1.0
comment,1.0,1.0,1.0
compact,-1.0,-1.0,-1.0
compatible,-1.0,-1.0,-1.0
complain,0.0,0.0,0.0
complaining,1.0,1.0,1.0
complains,0.0,0.0,0.0
complaint,-1.0,-1.0,-1.0
complaints,-1.0,-1.0,-1.0
complete,0.0,0.0,0.0
completely,1.0,1.0,1.0
complicated,1.0,1.0,1.0
compliments,0.0,0.0,0.0
concern,0.0,0.0,0.0
concerned,-1.0,-1.0,-1.0
confident,1.0,1.0,1.0
cons,-1.0,-1.0,-1.0
consider,1.0,1.0,1.0
continuous,1.0,1.0,1.0
convenient,-1.0,-1.0,-1.0
cool,1.0,1.0,1.0
correct,-1.0,-1.0,-1.0
correctly,-1.0,-1.0,-1.0
cost-effective,-1.0,-1.0,-1.0
could,0.0,0.0,0.0
crack,0.0,0.0,0.0
crap,1.0,1.0,1.0
crash,0.0,0.0,0.0
crashed,0.0,0.0,0.0
crashes,-1.0,-1.0,-1.0
crashing,0.0,0.0,0.0
crazy,1.0,1.0,1.0
create,0.0,0.0,0.0
created,0.0,0.0,0.0
creativity,1.0,1.0,1.0
credit,0.0,0.0,0.0
crisp,1.0,1.0,1.0
critical,1.0,1.0,1.0
cut,1.0,1.0,1.0
cutting,-1.0,-1.0,-1.0
damaged,1.0,1.0,1.0
damn,1.0,1.0,1.0
dangerous,-1.0,-1.0,-1.0
dark,0.0,0.0,0.0
darker,1.0,1.0,1.0
dead,-1.0,-1.0,-1.0
deal,0.0,0.0,0.0
death,-1.0,-1.0,-1.0
decent,0.0,0.0,0.0
decrease,1.0,1.0,1.0
dedicated,0.0,0.0,0.0
defeats,1.0,1.0,1.0
defect,-1.0,-1.0,-1.0
defective,1.0,1.0,1.0
definitely,1.0,1.0,1.0
delay,1.0,1.0,1.0
denied,-1.0,-1.0,-1.0
desired,-1.0,-1.0,-1.0
despite,1.0,1.0,1.0
die,0.0,0.0,0.0
died,1.0,1.0,1.0
dies,1.0,1.0,1.0
difference,-1.0,-1.0,-1.0
difficult,1.0,1.0,1.0
difficulties,1.0,1.0,1.0
difficulty,1.0,1.0,1.0
diminish,1.0,1.0,1.0
dirty,1.0,1.0,1.0
disappoint,0.0,0.0,0.0
disappointed,-1.0,-1.0,-1.0
disappointing,1.0,1.0,1.0
disappointment,1.0,1.0,1.0
disappointments,-1.0,-1.0,-1.0
discontinued,-1.0,-1.0,-1.0
dislike,1.0,1.0,1.0
dissappointed,-1.0,-1.0,-1.0
dissatisfied,0.0,0.0,0.0
doa,-1.0,-1.0,-1.0
doubt,0.0,0.0,0.0
down,1.0,1.0,1.0
downfall,1.0,1.0,1.0
downside,0.0,0.0,0.0
drawback,1.0,1.0,1.0
drive,0.0,0.0,0.0
drop,1.0,1.0,1.0
drown,1.0,1.0,1.0
dud,-1.0,-1.0,-1.0
dump,-1.0,-1.0,-1.0
durability,0.0,0.0,0.0
durable,0.0,0.0,0.0
dust,0.0,0.0,0.0
duty,0.0,0.0,0.0
ease,1.0,1.0,1.0
easier,0.0,0.0,0.0
easiest,-1.0,-1.0,-1.0
easily,-1.0,-1.0,-1.0
easy,-1.0,-1.0,-1.0
edgy,0.0,0.0,0.0
effective,-1.0,-1.0,-1.0
efficient,-1.0,-1.0,-1.0
effin,-1.0,-1.0,-1.0
elegant,0.0,0.0,0.0
else,0.0,0.0,0.0
enable,0.0,0.0,0.0
encourage,0.0,0.0,0.0
enemies,-1.0,-1.0,-1.0
energy,-1.0,-1.0,-1.0
enjoy,0.0,0.0,0.0
enjoyable,-1.0,-1.0,-1.0
enjoyed,-1.0,-1.0,-1.0
enjoying,1.0,1.0,1.0
enough,-1.0,-1.0,-1.0
enraged,1.0,1.0,1.0
entertained,0.0,0.0,0.0
entire,1.0,1.0,1.0
envy,0.0,0.0,0.0
error,-1.0,-1.0,-1.0
errors,1.0,1.0,1.0
especially,0.0,0.0,0.0
essential,1.0,1.0,1.0
even,1.0,1.0,1.0
exact,1.0,1.0,1.0
exactly,1.0,1.0,1.0
exaggeration,0.0,0.0,0.0
exceeded,-1.0,-1.0,-1.0
excel,1.0,1.0,1.0
excelent,1.0,1.0,1.0
excellent,1.0,1.0,1.0
exceptional,1.0,1.0,1.0
excited,1.0,1.0,1.0
excuses,1.0,1.0,1.0
exhaust,0.0,0.0,0.0
expectation,0.0,0.0,0.0
expensive,0.0,0.0,0.0
expired,1.0,1.0,1.0
exposed,1.0,1.0,1.0
extend,1.0,1.0,1.0
extremely,0.0,0.0,0.0
fabulous,1.0,1.0,1.0
fact,-1.0,-1.0,-1.0
fail,0.0,0.0,0.0
failed,0.0,0.0,0.0
failing,0.0,0.0,0.0
fails,1.0,1.0,1.0
fairly,0.0,0.0,0.0
fall,0.0,0.0,0.0
falling,1.0,1.0,1.0
fallout,1.0,1.0,1.0
familiar,0.0,0.0,0.0
fan,1.0,1.0,1.0
fancy,0.0,0.0,0.0
fantastic,0.0,0.0,0.0
fast,0.0,0.0,0.0
faster,1.0,1.0,1.0
fault,0.0,0.0,0.0
faulty,-1.0,-1.0,-1.0
favor,1.0,1.0,1.0
favorite,0.0,0.0,0.0
feel,1.0,1.0,1.0
feeling,0.0,0.0,0.0
feels,1.0,1.0,1.0
fell,1.0,1.0,1.0
felt,0.0,0.0,0.0
fighting,0.0,0.0,0.0
finally,1.0,1.0,1.0
fine,1.0,1.0,1.0
fire,1.0,1.0,1.0
fired,1.0,1.0,1.0
firmly,0.0,0.0,0.0
fit,0.0,0.0,0.0
flash,-1.0,-1.0,-1.0
flawlessly,0.0,0.0,0.0
flaws,1.0,1.0,1.0
focused,1.0,1.0,1.0
fool,-1.0,-1.0,-1.0
force,0.0,0.0,0.0
forced,1.0,1.0,1.0
forget,-1.0,-1.0,-1.0
forgivable,0.0,0.0,0.0
fortunately,1.0,1.0,1.0
fragile,0.0,0.0,0.0
freaking,-1.0,-1.0,-1.0
free,0.0,0.0,0.0
freeze,-1.0,-1.0,-1.0
freezes,1.0,1.0,1.0
freezing,1.0,1.0,1.0
fresh,-1.0,-1.0,-1.0
friction,1.0,1.0,1.0
friend,-1.0,-1.0,-1.0
friendly,1.0,1.0,1.0
friends,0.0,0.0,0.0
froze,1.0,1.0,1.0
frustrated,0.0,0.0,0.0
frustrating,1.0,1.0,1.0
full,0.0,0.0,0.0
fully,-1.0,-1.0,-1.0
fun,0.0,0.0,0.0
functional,-1.0,-1.0,-1.0
funny,0.0,0.0,0.0
fuss,-1.0,-1.0,-1.0
game,-1.0,-1.0,-1.0
geek,0.0,0.0,0.0
generous,-1.0,-1.0,-1.0
genius,1.0,1.0,1.0
gestures,-1.0,-1.0,-1.0
giant,1.0,1.0,1.0
giddy,-1.0,-1.0,-1.0
gift,-1.0,-1.0,-1.0
giving,1.0,1.0,1.0
glad,-1.0,-1.0,-1.0
gladly,-1.0,-1.0,-1.0
glare,-1.0,-1.0,-1.0
glossy,0.0,0.0,0.0
good,-1.0,-1.0,-1.0
gorgeous,0.0,0.0,0.0
granted,1.0,1.0,1.0
great,1.0,1.0,1.0
greatest,0.0,0.0,0.0
guarantee,0.0,0.0,0.0
hack,1.0,1.0,1.0
hacked,0.0,0.0,0.0
hand,1.0,1.0,1.0
handy,0.0,0.0,0.0
hangs,-1.0,-1.0,-1.0
happier,-1.0,-1.0,-1.0
happy,1.0,1.0,1.0
hard,1.0,1.0,1.0
hardly,0.0,0.0,0.0
hassle,0.0,0.0,0.0
hate,-1.0,-1.0,-1.0
hated,0.0,0.0,0.0
hateful,-1.0,-1.0,-1.0
headache,1.0,1.0,1.0
headaches,-1.0,-1.0,-1.0
heartily,1.0,1.0,1.0
heck,0.0,0.0,0.0
help,-1.0,-1.0,-1.0
helped,0.0,0.0,0.0
helpful,0.0,0.0,0.0
helping,-1.0,-1.0,-1.0
helps,0.0,0.0,0.0
hesitate,1.0,1.0,1.0
hide,1.0,1.0,1.0
high,1.0,1.0,1.0
hollow,-1.0,-1.0,-1.0
honest,0.0,0.0,0.0
honestly,-1.0,-1.0,-1.0
hope,-1.0,-1.0,-1.0
hoped,-1.0,-1.0,-1.0
hoping,1.0,1.0,1.0
horrible,0.0,0.0,0.0
hot,1.0,1.0,1.0
however,0.0,0.0,0.0
huge,1.0,1.0,1.0
hung,0.0,0.0,0.0
hurt,0.0,0.0,0.0
idea,-1.0,-1.0,-1.0
ideal,-1.0,-1.0,-1.0
idiots,-1.0,-1.0,-1.0
idk,-1.0,-1.0,-1.0
ignorant,1.0,1.0,1.0
imagine,-1.0,-1.0,-1.0
immediate,0.0,0.0,0.0
immediately,1.0,1.0,1.0
implore,0.0,0.0,0.0
important,1.0,1.0,1.0
impossible,1.0,1.0,1.0
impressed,-1.0,-1.0,-1.0
impressions,1.0,1.0,1.0
impressive,0.0,0.0,0.0
impressively,1.0,1.0,1.0
improvement,1.0,1.0,1.0
improvements,1.0,1.0,1.0
improving,1.0,1.0,1.0
incompatible,1.0,1.0,1.0
inconvenience,-1.0,-1.0,-1.0
incorrect,1.0,1.0,1.0
increase,1.0,1.0,1.0
incredible,1.0,1.0,1.0
incredibly,0.0,0.0,0.0
indeed,1.0,1.0,1.0
indication,1.0,1.0,1.0
inept,1.0,1.0,1.0
inevitably,-1.0,-1.0,-1.0
inexpensive,0.0,0.0,0.0
influence,-1.0,-1.0,-1.0
inherent,0.0,0.0,0.0
innovation,1.0,1.0,1.0
insane,1.0,1.0,1.0
insanity,1.0,1.0,1.0
instantly,1.0,1.0,1.0
integral,0.0,0.0,0.0
interest,1.0,1.0,1.0
interested,-1.0,-1.0,-1.0
interesting,-1.0,-1.0,-1.0
intuitive,-1.0,-1.0,-1.0
invalidate,-1.0,-1.0,-1.0
isolation,-1.0,-1.0,-1.0
isolator,-1.0,-1.0,-1.0
issue,-1.0,-1.0,-1.0
issues,-1.0,-1.0,-1.0
joke,-1.0,-1.0,-1.0
joy,-1.0,-1.0,-1.0
joystick,1.0,1.0,1.0
junk,-1.0,-1.0,-1.0
just,-1.0,-1.0,-1.0
key,1.0,1.0,1.0
kidding,1.0,1.0,1.0
killer,0.0,0.0,0.0
kind,-1.0,-1.0,-1.0
knew,-1.0,-1.0,-1.0
know,1.0,1.0,1.0
lack,0.0,0.0,0.0
lacking,-1.0,-1.0,-1.0
lag,0.0,0.0,0.0
lags,0.0,0.0,0.0
lame,0.0,0.0,0.0
large,-1.0,-1.0,-1.0
leading,0.0,0.0,0.0
learn,-1.0,-1.0,-1.0
learned,1.0,1.0,1.0
learning,0.0,0.0,0.0
least,-1.0,-1.0,-1.0
led,1.0,1.0,1.0
lemon,-1.0,-1.0,-1.0
less,0.0,0.0,0.0
lie,0.0,0.0,0.0
light,1.0,1.0,1.0
lighter,-1.0,-1.0,-1.0
like,-1.0,-1.0,-1.0
liked,0.0,0.0,0.0
likely,-1.0,-1.0,-1.0
likes,0.0,0.0,0.0
liking,-1.0,-1.0,-1.0
limited,1.0,1.0,1.0
little,-1.0,-1.0,-1.0
live,-1.0,-1.0,-1.0
lol,-1.0,-1.0,-1.0
long,-1.0,-1.0,-1.0
look,-1.0,-1.0,-1.0
looking,0.0,0.0,0.0
loose,-1.0,-1.0,-1.0
lose,0.0,0.0,0.0
loss,0.0,0.0,0.0
losses,-1.0,-1.0,-1.0
lost,-1.0,-1.0,-1.0
loud,0.0,0.0,0.0
louder,0.0,0.0,0.0
love,-1.0,-1.0,-1.0
loved,1.0,1.0,1.0
loves,-1.0,-1.0,-1.0
loving,-1.0,-1.0,-1.0
low,0.0,0.0,0.0
lower,-1.0,-1.0,-1.0
loyal,-1.0,-1.0,-1.0
luck,-1.0,-1.0,-1.0
luxury,-1.0,-1.0,-1.0
magnetic,0.0,0.0,0.0
major,0.0,0.0,0.0
massive,1.0,1.0,1.0
masterpiece,1.0,1.0,1.0
matte,0.0,0.0,0.0
matter,0.0,0.0,0.0
matters,-1.0,-1.0,-1.0
maybe,-1.0,-1.0,-1.0
mean,-1.0,-1.0,-1.0
meh,1.0,1.0,1.0
mere,0.0,0.0,0.0
messy,1.0,1.0,1.0
might,-1.0,-1.0,-1.0
mild,1.0,1.0,1.0
mind,-1.0,-1.0,-1.0
minor,-1.0,-1.0,-1.0
miscellaneous,1.0,1.0,1.0
mistake,-1.0,-1.0,-1.0
modern,1.0,1.0,1.0
moon,-1.0,-1.0,-1.0
most,0.0,0.0,0.0
mostly,0.0,0.0,0.0
move,-1.0,-1.0,-1.0
moving,1.0,1.0,1.0
much,1.0,1.0,1.0
must,0.0,0.0,0.0
nasty,1.0,1.0,1.0
nature,0.0,0.0,0.0
necessary,0.0,0.0,0.0
need,1.0,1.0,1.0
needless,1.0,1.0,1.0
needs,0.0,0.0,0.0
negative,1.0,1.0,1.0
negligible,0.0,0.0,0.0
nervous,-1.0,-1.0,-1.0
nice,0.0,0.0,0.0
nicely,0.0,0.0,0.0
nicest,1.0,1.0,1.0
nightmare,-1.0,-1.0,-1.0
no,-1.0,-1.0,-1.0
noise,1.0,1.0,1.0
noises,0.0,0.0,0.0
noisy,1.0,1.0,1.0
normal,1.0,1.0,1.0
nuisance,1.0,1.0,1.0
number,1.0,1.0,1.0
objection,0.0,0.0,0.0
obsessed,-1.0,-1.0,-1.0
obtrusive,1.0,1.0,1.0
obviously,0.0,0.0,0.0
odd,1.0,1.0,1.0
oddities,1.0,1.0,1.0
offline,1.0,1.0,1.0
oh,0.0,0.0,0.0
ok,-1.0,-1.0,-1.0
open,1.0,1.0,1.0
opinion,-1.0,-1.0,-1.0
opportunity,1.0,1.0,1.0
outstanding,0.0,0.0,0.0
overcome,0.0,0.0,0.0
pain,0.0,0.0,0.0
painful,0.0,0.0,0.0
painless,0.0,0.0,0.0
particular,-1.0,-1.0,-1.0
particularly,1.0,1.0,1.0
party,1.0,1.0,1.0
pay,1.0,1.0,1.0
perfect,0.0,0.0,0.0
perfectly,-1.0,-1.0,-1.0
perhaps,0.0,0.0,0.0
plain,0.0,0.0,0.0
play,1.0,1.0,1.0
played,-1.0,-1.0,-1.0
player,-1.0,-1.0,-1.0
playing,-1.0,-1.0,-1.0
plays,0.0,0.0,0.0
pleasant,0.0,0.0,0.0
pleasantly,0.0,0.0,0.0
please,1.0,1.0,1.0
pleased,1.0,1.0,1.0
pleasing,-1.0,-1.0,-1.0
pleasure,0.0,0.0,0.0
plenty,1.0,1.0,1.0
pluses,-1.0,-1.0,-1.0
point,0.0,0.0,0.0
poor,-1.0,-1.0,-1.0
poorly,0.0,0.0,0.0
portable,-1.0,-1.0,-1.0
positive,-1.0,-1.0,-1.0
possible,0.0,0.0,0.0
power,0.0,0.0,0.0
powerful,1.0,1.0,1.0
powerless,-1.0,-1.0,-1.0
practically,0.0,0.0,0.0
pray,0.0,0.0,0.0
prefer,1.0,1.0,1.0
premium,0.0,0.0,0.0
press,1.0,1.0,1.0
pressured,1.0,1.0,1.0
pretty,-1.0,-1.0,-1.0
pricey,-1.0,-1.0,-1.0
primary,-1.0,-1.0,-1.0
prime,0.0,0.0,0.0
pro,0.0,0.0,0.0
problem,1.0,1.0,1.0
problematic,0.0,0.0,0.0
problems,-1.0,-1.0,-1.0
promise,-1.0,-1.0,-1.0
proper,0.0,0.0,0.0
properly,0.0,0.0,0.0
proprietary,-1.0,-1.0,-1.0
pros,0.0,0.0,0.0
protector,1.0,1.0,1.0
proving,-1.0,-1.0,-1.0
pure,0.0,0.0,0.0
qualify,1.0,1.0,1.0
qualms,0.0,0.0,0.0
quick,0.0,0.0,0.0
quicker,0.0,0.0,0.0
quiet,0.0,0.0,0.0
quit,1.0,1.0,1.0
quite,0.0,0.0,0.0
rare,1.0,1.0,1.0
rarely,-1.0,-1.0,-1.0
rather,-1.0,-1.0,-1.0
reach,1.0,1.0,1.0
reaches,1.0,1.0,1.0
reaction,-1.0,-1.0,-1.0
ready,0.0,0.0,0.0
real,1.0,1.0,1.0
realistic,0.0,0.0,0.0
really,1.0,1.0,1.0
reason,0.0,0.0,0.0
reasonable,-1.0,-1.0,-1.0
reasonably,-1.0,-1.0,-1.0
recognition,-1.0,-1.0,-1.0
recomend,1.0,1.0,1.0
recommend,1.0,1.0,1.0
recommended,1.0,1.0,1.0
recovery,-1.0,-1.0,-1.0
refund,-1.0,-1.0,-1.0
refused,-1.0,-1.0,-1.0
regardless,0.0,0.0,0.0
regret,-1.0,-1.0,-1.0
regrets,0.0,0.0,0.0
regretted,1.0,1.0,1.0
relax,-1.0,-1.0,-1.0
reliability,-1.0,-1.0,-1.0
reliable,1.0,1.0,1.0
repair,0.0,0.0,0.0
reputation,1.0,1.0,1.0
resolve,-1.0,-1.0,-1.0
resolved,-1.0,-1.0,-1.0
responsive,1.0,1.0,1.0
restricted,0.0,0.0,0.0
rich,0.0,0.0,0.0
ridiculous,-1.0,-1.0,-1.0
ridiculously,1.0,1.0,1.0
right,0.0,0.0,0.0
robust,-1.0,-1.0,-1.0
rough,0.0,0.0,0.0
safety,0.0,0.0,0.0
sarcasm,1.0,1.0,1.0
satisfactory,-1.0,-1.0,-1.0
satisfied,-1.0,-1.0,-1.0
satisfy,1.0,1.0,1.0
save,0.0,0.0,0.0
saved,-1.0,-1.0,-1.0
savvy,1.0,1.0,1.0
scary,0.0,0.0,0.0
scratches,1.0,1.0,1.0
screams,-1.0,-1.0,-1.0
screw,0.0,0.0,0.0
screwed,1.0,1.0,1.0
screws,0.0,0.0,0.0
seamless,1.0,1.0,1.0
secure,1.0,1.0,1.0
securely,1.0,1.0,1.0
security,1.0,1.0,1.0
seem,1.0,1.0,1.0
sensational,1.0,1.0,1.0
sense,0.0,0.0,0.0
sensitive,-1.0,-1.0,-1.0
sensitivity,0.0,0.0,0.0
serious,-1.0,-1.0,-1.0
seriously,1.0,1.0,1.0
set-up,1.0,1.0,1.0
shame,-1.0,-1.0,-1.0
share,0.0,0.0,0.0
sharp,-1.0,-1.0,-1.0
shattered,-1.0,-1.0,-1.0
sheer,-1.0,-1.0,-1.0
shine,1.0,1.0,1.0
shiny,0.0,0.0,0.0
shit,1.0,1.0,1.0
shocked,0.0,0.0,0.0
shockingly,1.0,1.0,1.0
should,1.0,1.0,1.0
show,1.0,1.0,1.0
signals,1.0,1.0,1.0
simple,-1.0,-1.0,-1.0
simply,-1.0,-1.0,-1.0
sleek,0.0,0.0,0.0
slick,1.0,1.0,1.0
slim,1.0,1.0,1.0
slow,0.0,0.0,0.0
slower,1.0,1.0,1.0
slowly,0.0,0.0,0.0
smooth,0.0,0.0,0.0
smoother,-1.0,-1.0,-1.0
smoothly,1.0,1.0,1.0
so,-1.0,-1.0,-1.0
soft,1.0,1.0,1.0
solid,-1.0,-1.0,-1.0
solve,-1.0,-1.0,-1.0
solved,0.0,0.0,0.0
sophisticated,1.0,1.0,1.0
sorry,1.0,1.0,1.0
sound,1.0,1.0,1.0
special,1.0,1.0,1.0
specific,0.0,0.0,0.0
spectacular,-1.0,-1.0,-1.0
speedy,-1.0,-1.0,-1.0
split,1.0,1.0,1.0
stability,0.0,0.0,0.0
stand,0.0,0.0,0.0
stands,1.0,1.0,1.0
star,-1.0,-1.0,-1.0
stars,0.0,0.0,0.0
steady,1.0,1.0,1.0
stellar,1.0,1.0,1.0
still,0.0,0.0,0.0
stinks,1.0,1.0,1.0
stopped,1.0,1.0,1.0
stops,0.0,0.0,0.0
strength,0.0,0.0,0.0
strengths,0.0,0.0,0.0
strong,-1.0,-1.0,-1.0
stuck,1.0,1.0,1.0
stunning,1.0,1.0,1.0
sturdy,1.0,1.0,1.0
stylish,1.0,1.0,1.0
sub-par,1.0,1.0,1.0
substantial,0.0,0.0,0.0
substantive,1.0,1.0,1.0
successfully,0.0,0.0,0.0
such,0.0,0.0,0.0
sucks,1.0,1.0,1.0
suffer,-1.0,-1.0,-1.0
suffice,-1.0,-1.0,-1.0
suggest,0.0,0.0,0.0
suggestions,0.0,0.0,0.0
super,-1.0,-1.0,-1.0
superior,1.0,1.0,1.0
support,1.0,1.0,1.0
supported,1.0,1.0,1.0
suppose,1.0,1.0,1.0
supposed,1.0,1.0,1.0
sure,1.0,1.0,1.0
surprise,1.0,1.0,1.0
surprised,-1.0,-1.0,-1.0
swear,1.0,1.0,1.0
swore,-1.0,-1.0,-1.0
sworn,1.0,1.0,1.0
terrible,0.0,0.0,0.0
terribly,-1.0,-1.0,-1.0
terrific,-1.0,-1.0,-1.0
thank,1.0,1.0,1.0
thanks,0.0,0.0,0.0
thicker,0.0,0.0,0.0
think,-1.0,-1.0,-1.0
thinking,-1.0,-1.0,-1.0
though,0.0,0.0,0.0
thought,0.0,0.0,0.0
thrilled,1.0,1.0,1.0
throw,1.0,1.0,1.0
thus,0.0,0.0,0.0
tiny,1.0,1.0,1.0
tired,1.0,1.0,1.0
top,-1.0,-1.0,-1.0
tops,1.0,1.0,1.0
torture,-1.0,-1.0,-1.0
touch,-1.0,-1.0,-1.0
touches,-1.0,-1.0,-1.0
tough,-1.0,-1.0,-1.0
transport,-1.0,-1.0,-1.0
trash,-1.0,-1.0,-1.0
trendy,0.0,0.0,0.0
trial,1.0,1.0,1.0
trouble,0.0,0.0,0.0
true,-1.0,-1.0,-1.0
truly,-1.0,-1.0,-1.0
trusted,1.0,1.0,1.0
trying,1.0,1.0,1.0
ugly,-1.0,-1.0,-1.0
ultra,-1.0,-1.0,-1.0
unable,1.0,1.0,1.0
unbearable,-1.0,-1.0,-1.0
unconcerned,1.0,1.0,1.0
understand,1.0,1.0,1.0
understanding,1.0,1.0,1.0
understood,-1.0,-1.0,-1.0
unexpected,0.0,0.0,0.0
unexpectedly,1.0,1.0,1.0
unhappy,1.0,1.0,1.0
unimpressed,-1.0,-1.0,-1.0
unique,-1.0,-1.0,-1.0
universal,1.0,1.0,1.0
unnecessary,-1.0,-1.0,-1.0
unparalleled,0.0,0.0,0.0
unprecedented,-1.0,-1.0,-1.0
unresponsive,-1.0,-1.0,-1.0
unrivaled,0.0,0.0,0.0
unusable,-1.0,-1.0,-1.0
unusual,0.0,0.0,0.0
upgradable,-1.0,-1.0,-1.0
upgrade,-1.0,-1.0,-1.0
upgraded,-1.0,-1.0,-1.0
upset,-1.0,-1.0,-1.0
useful,0.0,0.0,0.0
useless,1.0,1.0,1.0
value,1.0,1.0,1.0
versatile,-1.0,-1.0,-1.0
very,1.0,1.0,1.0
vibrant,-1.0,-1.0,-1.0
vibration,-1.0,-1.0,-1.0
virus,0.0,0.0,0.0
vivid,-1.0,-1.0,-1.0
want,1.0,1.0,1.0
warm,1.0,1.0,1.0
warning,-1.0,-1.0,-1.0
waste,1.0,1.0,1.0
wasting,1.0,1.0,1.0
wd,-1.0,-1.0,-1.0
weak,-1.0,-1.0,-1.0
weaknesses,0.0,0.0,0.0
weird,0.0,0.0,0.0
well,-1.0,-1.0,-1.0
whatever,1.0,1.0,1.0
white,1.0,1.0,1.0
wide,-1.0,-1.0,-1.0
will,-1.0,-1.0,-1.0
willing,0.0,0.0,0.0
win,1.0,1.0,1.0
winner,0.0,0.0,0.0
winning,-1.0,-1.0,-1.0
wise,1.0,1.0,1.0
wish,1.0,1.0,1.0
wonder,0.0,0.0,0.0
wonderful,-1.0,-1.0,-1.0
wonderfully,1.0,1.0,1.0
work,1.0,1.0,1.0
worked,0.0,0.0,0.0
works,0.0,0.0,0.0
worried,1.0,1.0,1.0
worry,0.0,0.0,0.0
worse,-1.0,-1.0,-1.0
worst,0.0,0.0,0.0
worth,-1.0,-1.0,-1.0
worthless,1.0,1.0,1.0
would,1.0,1.0,1.0
wow,1.0,1.0,1.0
wrong,0.0,0.0,0.0
xp,1.0,1.0,1.0
yeah,-1.0,-1.0,-1.0
yes,0.0,0.0,0.0
not,0.0,0.0,0.0
n't,0.0,0.0,0.0
